Teen_Code,Frequency,Label
t,1532,tôi
ko,1286,không
k,1259,không
?c,703,???c
r,443,r?i
m,371,mày
ng,352,ng??i
z,273,v?y
vs,234,v?i
ck,,chuy?n kho?n
ck,232,ch?ng
dc,231,???c
ngta,226,ng??i ta
b,207,b?n
kh,169,không
lun,158,luôn
j,157,gì
v,144,v?y
tr,133,tr?i
h,124,gi?
cx,121,c?ng
mn,116,m?i ng??i
nma,104,nh?ng mà
trc,103,tr??c
vk,101,v?
lm,83,làm
mk,,m?t kh?u
mk,82,mình
hông,70,không
bt,69,bi?t
thui,69,thôi
hok,63,không
z?,60,v?y
zô,60,vô
s,59,sao
nc,58,nói chuy?n
rùi,58,r?i
ik,54,?i
sn,53,sinh n?m
n,52,nó
bh,,bao gi?
bh,52,bây gi?
zui,51,vui
bn,48,b?n
z?y,47,v?y
g?,47,gia ?ình
zai,46,trai
cty,44,công ty
?t,44,?i?n tho?i
ms,43,m?i
ntn,40,nh? th? nào
mik,40,mình
bth,39,bình th??ng
th,38,thôi
nx,38,n?a
mng,36,m?i ng??i
nhma,34,nh?ng mà
cta,29,chúng ta
hs,29,h?c sinh
ah,,à
ah,28,anh
kg,25,không
nt,25,nh?n tin
ns,25,nói 
hk,24,không
trg,24,trong
cbi,23,chu?n b?
nch,23,nói chuy?n
nta,22,ng??i ta
ch,22,ch?a
kbt,,không bi?t
kb,20,k?t b?n
ce,20,ch? em
sv,20,sinh viên
?k,20,?úng không
ak,20,à
bme,20,b? m?
tk,19,th?ng
hc,19,h?c 
qá,18,quá
ph,,ph?i
p,18,ph?i
nhg,18,nh?ng
thg,,th?ng
thg,18,th??ng
cs,18,có
khók,17,khóc
?g,17,?ang
mh,16,m?y gi?
tp,16,thành ph?
nv,16,nhi?m v?
xog,16,xong
cv,15,công vi?c
nnay,15,nh? này
zì,15,gì
cj,14,ch?   
?ag,14,?ang
gd,14,gia ?ình
cb,13,các b?n
shao,13,sao
ngt,13,ng??i ta
dz?,13,v?y
cno,13,chúng nó
nh,13,nhi?u
zay,13,v?y
cg,12,c?ng
hqua,12,hôm qua
xg,12,xong
chs,12,ch?i
xl,12,xin l?i
hnay,11,hôm nay
wa,11,quá
nka,11,nha
hnao,11,hôm nào
bik,11,bi?t
g,11,gi?
chx,10,ch?a
dk,10,?úng không
ktra,10,ki?m tra
pónk,10,bóng
cíu,10,c?u
z?i,9,v?i
qtam,9,quan tâm
nthe,9,nh? th?  
zà,9,già
sk,9,s?c kh?e
kp,9,không ph?i
qtrong,8,quan tr?ng
dzô,8,vô
nek,8,nè
z?i,8,tr?i
tgian,8,th?i gian
ank,7,anh
dzui,7,vui
dth,7,d? th??ng
ák,7,ác
??k,7,??c
tnay,7,th? này
ôg,7,ông
ks,7,không sao
ctay,7,chia tay
ngkhac,7,ng??i khác
c?g,7,c?ng
bsi,7,bác s?
cgi,7,cái gì
bame,7,ba m?
nèk,6,nè
?th,6,?i?n tho?i
bthg,6,bình th??ng
baoh,6,bao gi?
gv,6,giáo viên
cn,6,ch? nh?t
ct,6,chia tay
tht,6,th?t
bcuoi,6,bu?n c??i
nh?g,6,nh?ng
tl,6,tr? l?i
thik,6,thích
dz?y,6,v?y
z?,6,d?
qa,6,quá
ph,6,ph?i
khok,6,khóc
nvay,6,nh? v?y
ts,6,t?i sao
cgai,6,con gái
k?m,6,c?m
qtr,5,quan tr?ng
bgio,5,bao gi?
mìnk,5,mình
mih,5,mình
lgi,5,làm gì
mak,5,mà
?ók,5,?ó
kte,5,kinh t?
cm,5,chúng mày
vt,5,vi?t
ntin,5,nh?n tin
snhat,5,sinh nh?t
csong,5,cu?c s?ng
cviec,5,công vi?c
zi?c,5,vi?c
z?y,5,v?y
?ki,5,??ng ký
ck?nq,5,ch?ng
qsu,5,quân s?
dt,5,?i?n tho?i
gke,5,ghê
ht,5,h?t
vd,4,ví d?
ngol,4,ngon
tnao,4,th? nào
bg,,bây gi?
bg,4,bao gi?
dnay,4,d?o này
dz?,4,d?
vkck,4,v? ch?ng
dg,4,?ang
?ág,4,?áng
snghi,4,suy ngh?
qt,4,quan tr?ng
ctrai,4,con tria
?trai,4,??p trai
hsau,4,hôm sau
trl,4,tr? l?i
dz?i,4,v?i
thw,4,th??ng
bjo,4,bây gi?
nmà,4,nh?ng mà
vde,4,v?n ??
àh,4,à
bb,4,b?n bè
?k,4,?
cuti,4,cute
bâyh,4,bây gi?
bjk,4,bi?t
tsua,3,trà s?a
bnhieu,3,bao nhiêu
dzai,3,??p trai
kphai,3,không ph?i
jz,3,gì v?y
kbiet,3,không bi?t
kt,3,ki?m tra
nchung,3,nói chung
màk,3,mà
qlai,3,quay l?i
kbt,3,không bi?t
v?,3,v?n ??
luonn,3,luôn
hôk,3,không
lsao,3,là sao
uk,3,?
ksao,3,không sao
côg,3,công
g?nk,3,r?nh
kn,3,kinh nghi?m
nvien,3,nhân viên
ngc,3,ng??c
tg,3,th?i gian
khummm,3,không
thk,3,th?ng
z?,3,v?
embe,3,em bé
z?,3,gì  
bnh,3,bao nhiêu
xinhh,3,xinh
z?,3,d?  
khùg,3,khùng
cban,3,các b?n
htrc,3,hôm tr??c
zo,3,vô
ctrinh,3,ch??ng trình
mìh,3,mình
q,3,quá
zk,3,v?  
khôg,3,không
tsao,3,t?i sao
dz,3,??p trai
hjc,2,hic
bayh,2,bây gi?
thík,2,thích
zaiiii,2,trai
uhm,2,?
as,2,á
ng?k,2,ng?c
cgái,2,con gái
mìk,2,mình
xoq,2,xong
kbg,2,không bao gi?
ctoi,2,chúng tôi
?kien,2,?i?u ki?n
neh,2,nè
kbh,2,không bao gi?
chta,2,chúng ta
dz?a,2,v?a
àk,2,à
xinloi,2,xin l?i
chj,2,ch?
dthw,2,d? th??ng
xloi,2,xin l?i
l?nk,2,l?nh
dz?,2,gì
hongg,2,không
dvien,2,di?n viên
zi?t,2,vi?t
bónk,2,bóng
?zai,2,??p trai
chúg,2,chúng
tgia,2,tham gia
tbao,2,thông báo
?z,2,??p trai
ktr,2,ki?m tra
ngkh,2,ng??i khác
shaooo,2,sao
tnhan,2,tin nh?n
qs,2,quá
trôg,2,trông
qó,2,quá
xjnk,2,xinh
sd,2,s? d?ng
lmj,2,làm gì
ds,2,?ó
quák,2,quá
tíh,2,tính
??nk,2,??nh
svien,2,sinh viên
dz?y,2,v?y
uh,2,?
dz?t,2,v?t
yangho,2,giang h?
bnhiu,2,bao nhiêu
qay,2,quay  
náck,2,nách
ngk,2,ng??i khác
zdí,2,dí
xink,2,xinh
?r,2,?úng r?i
,,
,,
,,
,,
,,
,,
,,
,,
