,Từ Teencode (Input),Số câu xuất hiện,Loss trung bình của câu,Loss câu max
183,hnao,6,1.7775,7.2007
19,cuti,8,1.1985,5.5986
252,uh,11,1.1291,4.4119
157,pónk,5,1.0873,2.1917
57,chn,5,1.0799,2.078
313,htrc,5,1.0149,4.4119
42,hsy,3,0.9657,1.154
140,gv,5,0.9182,3.0144
105,uhm,3,0.8485,1.575
69,cf,15,0.8467,3.907
280,đtrai,8,0.8243,2.6486
281,hs,14,0.7979,3.1811
14,chtay,4,0.7627,2.0001
217,ksao,4,0.7443,2.1743
41,ngt,11,0.7351,2.4418
224,dr,10,0.6699,3.0984
295,hd,21,0.6668,1.442
16,dk,8,0.6599,1.6222
208,hjc,12,0.6513,1.6852
349,kb,17,0.6309,2.9481
347,nek,92,0.6083,3.0205
177,hk,6,0.6069,1.7387
168,cm,15,0.5785,1.7327
128,mh,16,0.5688,1.895
335,hsau,10,0.5683,1.8683
82,snhat,6,0.5427,1.9471
357,bcuoi,12,0.5388,2.0102
301,ce,12,0.5275,1.1069
188,tik,23,0.5266,1.4555
346,đkien,8,0.5236,1.8681
267,khók,21,0.521,1.9324
222,dzữ,9,0.4976,1.5995
242,cmay,7,0.4945,1.404
203,sv,10,0.494,2.3754
48,uk,6,0.4825,0.7367
2,cgái,4,0.4758,0.9143
141,nm,7,0.4734,1.5286
306,jz,6,0.4728,1.7748
175,vv,6,0.4626,0.9087
99,cđm,5,0.4588,0.7163
239,đki,8,0.4571,1.3039
113,gđình,4,0.4541,1.1069
167,kthuc,29,0.4531,2.7839
202,cbi,18,0.4506,1.4139
330,zaiiii,17,0.4495,1.8019
366,đỉnk,22,0.4494,3.9446
213,zai,35,0.4488,2.1345
244,q,23,0.4459,2.7688
321,dnay,13,0.4438,1.4811
184,shaooo,40,0.4424,3.3252
53,ák,10,0.4381,1.5889
20,zay,6,0.4372,1.7382
1,thg,90,0.4369,3.0984
218,hnay,31,0.4319,3.4368
85,tc,39,0.4162,2.7839
343,lunnn,54,0.4157,2.2862
122,neh,30,0.4044,2.0959
300,nv,19,0.4015,1.3795
220,wa,103,0.3989,2.5899
322,jv,6,0.3986,1.0463
127,thgian,11,0.3984,1.9251
369,dzừa,91,0.3981,4.4119
30,xinloi,3,0.3974,1.0643
160,àh,29,0.3971,3.711
320,ctrinh,3,0.3904,0.6221
9,chs,80,0.3895,2.5366
340,ngc,11,0.3889,2.4581
174,ak,68,0.3888,2.274
314,hnhu,22,0.3885,1.8178
362,bm,20,0.3873,1.7998
151,baoh,17,0.3872,1.4303
360,hqua,15,0.3811,2.3825
132,nma,112,0.3761,3.0205
249,sd,14,0.375,1.9374
18,zdí,8,0.3741,1.6048
114,dko,17,0.374,1.5453
86,qa,58,0.3738,2.335
35,v,240,0.3731,3.8644
283,m,207,0.3714,3.6237
305,tp,7,0.3713,0.8379
159,qs,14,0.3704,1.7382
311,cno,25,0.3669,1.6077
226,xink,11,0.364,0.8544
